coenti;damesano;plajustado;margem;pl;AjustesContabeis;AjustesEconomicos;NovoPla;CMR
05495;200301;67731159,61;0;83638933,96;-15907774,35;0;0;0
05525;200301;8731377,56;0;11304572,54;-2573194,98;0;0;0
05941;200301;8268093,35;0;11446587,59;-3178494,24;0;0;0
06009;200301;74285101,89;0;139086198,41;-64801096,52;0;0;0
06050;200301;1670848,12;0;3287151,49;-1616303,37;0;0;0
06211;200301;3249214,42;0;3482966,82;-233752,4;0;0;0
06394;200301;47900716,91;0;47922333,91;-21617;0;0;0
06572;200301;52314523,45;0;62233860,03;-9919336,58;0;0;0
06688;200301;108598286,58;0;134444750,69;-25846464,11;0;0;0
06998;200301;6923811,33;0;7350189,36;-426378,03;0;0;0
10031;200301;0;0;0;0;0;0;0
10081;200301;390847,69;0;390847,69;0;0;0;0
10120;200301;0;0;0;0;0;0;0
19291;200301;21121221,08;0;21121221,08;0;0;0;0
20141;200301;123204310,53;0;125106679,91;-1902369,38;0;0;0
22268;200301;3985481,92;0;3985481,92;0;0;0;0
25585;200301;154185331;0;155958049;-1772718;0;0;0
28134;200301;25216752,48;0;25239831,71;-23079,2300000004;0;0;0
03816;200302;11378562,67;0;11382429,93;-3867,25999999978;0;0;0
04707;200302;122961040,98;0;131347288,11;-8386247,13;0;0;0
05177;200302;232864576,65;0;395826400,22;-162961823,57;0;0;0
05495;200302;63741760,01;0;85733667,04;-21991907,03;0;0;0
05754;200302;10649502,8;0;11204040,17;-554537,369999999;0;0;0
05762;200302;3764906,24;0;3764906,24;0;0;0;0
05991;200302;6784823,72;0;7468875,19;-684051,470000001;0;0;0
06190;200302;173851840,7;0;273161679,11;-99309838,41;0;0;0
06653;200302;36289046,18;0;43864839,68;-7575793,5;0;0;0
06955;200302;50226452,52;0;531145146,1;-480918693,58;0;0;0
10103;200302;0;0;0;0;0;0;0
25941;200302;13512390,75;0;19527719,61;-6015328,86;0;0;0
28134;200302;26354169,9;0;26368354,43;-14184,5300000012;0;0;0
02143;200303;16665751,52;0;19172016,91;-2506265,39;0;0;0
03816;200303;11667142,2;0;11667142,2;0;0;0;0
05045;200303;32341926,16;0;69064159,43;-36722233,27;0;0;0
05282;200303;48855562,07;0;57804808,47;-8949246,4;0;0;0
05762;200303;3635481,89;0;3635481,89;0;0;0;0
05908;200303;49599295,76;0;66711481,14;-17112185,38;0;0;0
05941;200303;8135810,18;0;11350385,96;-3214575,78;0;0;0
06173;200303;8405965,47;0;8572727;-166761,529999999;0;0;0
06408;200303;2244860,7;0;2379074,56;-134213,86;0;0;0
06785;200303;168100206,91;0;198565735,22;-30465528,31;0;0;0
06866;200303;1083428164,09;0;1181140284,23;-97712120,1400001;0;0;0
06955;200303;51093767,15;0;537660420,97;-486566653,82;0;0;0
09938;200303;72456847,27;0;73868479,66;-1411632,39;0;0;0
10847;200303;0;0;0;0;0;0;0
10961;200303;0;0;0;0;0;0;0
11126;200303;0;0;0;0;0;0;0
19291;200303;21582997,58;0;21582997,58;0;0;0;0
25585;200303;129315544;0;130697649;-1382105;0;0;0
05070;200304;131358763,99;0;187302278,59;-55943514,6;0;0;0
05215;200304;148959945;0;650521635;-501561690;0;0;0
05631;200304;705786523;0;792869642;-87083119;0;0;0
05754;200304;10712745,33;0;11201968,47;-489223,140000001;0;0;0
06084;200304;6564447,49;0;7578169,78;-1013722,29;0;0;0
06106;200304;147525338,77;0;284936199,59;-137410860,82;0;0;0
06203;200304;21683093,49;0;28428350,69;-6745257,2;0;0;0
06335;200304;9659323,61;0;10707048,91;-1047725,3;0;0;0
06653;200304;34974022,24;0;44453998,54;-9479976,3;0;0;0
06866;200304;1166399852,79;0;1266295700,77;-99895847,98;0;0;0
09938;200304;75176759,61;0;76636445,12;-1459685,51000001;0;0;0
10138;200304;6742361,52;0;6744970,91;-2609,3900000006;0;0;0
10847;200304;0;0;0;0;0;0;0
18091;200304;8018759,74;0;8032732,31;-13972,5699999994;0;0;0
20281;200304;263501,2;0;576762,34;-313261,14;0;0;0
21482;200304;205064711,38;0;351370999,62;-146306288,24;0;0;0
27995;200304;16305484,8;0;16334316,86;-28832,0599999987;0;0;0
01147;200305;1807400,97;0;1807400,97;0;0;0;0
05096;200305;36596868,24;0;41044081,75;-4447213,51;0;0;0
05274;200305;24068017,17;0;31251639,08;-7183621,91;0;0;0
05282;200305;43242386,22;0;53261092,91;-10018706,69;0;0;0
05312;200305;113565518;0;132220095;-18654577;0;0;0
05720;200305;91328898,35;0;124511565,41;-33182667,06;0;0;0
05908;200305;50434887,85;0;67443327,66;-17008439,81;0;0;0
06360;200305;22701141,9;0;22752524,03;-51382,1300000027;0;0;0
06467;200305;23126628,63;0;29400876,16;-6274247,53;0;0;0
05045;201109;94377334,22;0;171531527,26;-77154193,04;0;0;0
05151;201109;162850429,18;0;180630330,83;-17779901,65;0;0;0
05193;201109;2000881,78;0;41341011,34;-39340129,56;0;0;0
05495;201109;247243925,09;0;405317645,7;-158073720,61;0;0;0
05533;201109;28211219,84;0;28250579,07;-39359,2300000004;0;0;0
05886;201109;1039174693,16;0;1534413125,61;-495238432,45;0;0;0
10669;200211;0;0;0;0;0;0;0
10898;200211;0;0;0;0;0;0;0
18091;200211;0;0;0;0;0;0;0
21482;200211;0;0;0;0;0;0;0
04359;200212;0;0;0;0;0;0;0
05096;200212;0;0;0;0;0;0;0
05215;200212;0;0;0;0;0;0;0
05282;200212;0;0;0;0;0;0;0
05878;200212;0;0;0;0;0;0;0
05991;200212;0;0;0;0;0;0;0
06122;200212;0;0;0;0;0;0;0
06181;200212;0;0;0;0;0;0;0
06548;200212;0;0;0;0;0;0;0
06785;200212;0;0;0;0;0;0;0
08141;200212;0;0;0;0;0;0;0
10961;200212;0;0;0;0;0;0;0
26026;200212;0;0;0;0;0;0;0
05002;200301;14610762,28;0;23037968,03;-8427205,75;0;0;0
05151;200301;98049633,64;0;98385799,59;-336165,950000003;0;0;0
05355;200301;43566222,86;0;46103067,74;-2536844,88;0;0;0
05401;200301;7661970,41;0;8354464,94;-692494,53;0;0;0
05533;200301;61487880;0;71522354;-10034474;0;0;0
05991;200301;6829180,55;0;7513232,02;-684051,47;0;0;0
06033;200301;28513485,45;0;29202293,92;-688808,470000003;0;0;0
06220;200301;70776272,9;0;94300724,24;-23524451,34;0;0;0
06301;200301;10511696,72;0;12061667,39;-1549970,67;0;0;0
06611;200301;40050551,24;0;51852490,66;-11801939,42;0;0;0
06955;200301;50680127,69;0;526794921,01;-476114793,32;0;0;0
10103;200301;0;0;0;0;0;0;0
10405;200301;0;0;0;0;0;0;0
11134;200301;0;0;0;0;0;0;0
22896;200301;168850451,65;0;1009748242,78;-840897791,13;0;0;0
23540;200301;6567584,35;0;11239761,26;-4672176,91;0;0;0
04359;200302;8477112,59;0;8620270,48;-143157,890000001;0;0;0
05002;200302;14745669,1;0;23150094,73;-8404425,63;0;0;0
05118;200302;409590983,13;0;1034247560,26;-624656577,13;0;0;0
05321;200302;400019896,79;0;1788230878,49;-1388210981,7;0;0;0
05614;200302;40693123,85;0;40843939,1;-150815,25;0;0;0
05720;200302;80907078,71;0;110522255,97;-29615177,26;0;0;0
06041;200302;57257493,71;0;57375666,06;-118172,350000001;0;0;0
06491;200302;11445159,85;0;16683734,88;-5238575,03;0;0;0
06611;200302;41969486,74;0;53469160,49;-11499673,75;0;0;0
06785;200302;165866217,04;0;193730537,54;-27864320,5;0;0;0
06858;200302;12063388;0;21277235;-9213847;0;0;0
10405;200302;0;0;0;0;0;0;0
10707;200302;0;0;0;0;0;0;0
11096;200302;0;0;0;0;0;0;0
25585;200302;158787233;0;160369033;-1581800;0;0;0
26026;200302;181509440,8;0;205696843,13;-24187402,33;0;0;0
05002;200303;14665007,61;0;23152072,14;-8487064,53;0;0;0
05096;200303;37257381,84;0;41414534,95;-4157153,11;0;0;0
05355;200303;45677303,49;0;48311563,38;-2634259,89;0;0;0
05614;200303;41857771,48;0;41963052,2;-105280,720000006;0;0;0
05819;200303;4595142,74;0;4982260,05;-387117,31;0;0;0
05843;200303;51568928,78;0;52418431;-849502,219999999;0;0;0
06009;200303;77567944,44;0;143088110,25;-65520165,81;0;0;0
06033;200303;30129340,19;0;30814366,32;-685026,129999999;0;0;0
06378;200303;25035501,87;0;73011232,95;-47975731,08;0;0;0
06394;200303;48351812,78;0;48355640,18;-3827,39999999851;0;0;0
06467;200303;19982559,38;0;26166757,35;-6184197,97;0;0;0
10669;200303;0;0;0;0;0;0;0
11029;200303;0;0;0;0;0;0;0
11096;200303;0;0;0;0;0;0;0
11134;200303;0;0;0;0;0;0;0
21482;200303;200796295,15;0;346533332,93;-145737037,78;0;0;0
21946;200303;54556671,27;0;183046352,68;-128489681,41;0;0;0
25712;200303;75363994,1;0;75363994,1;0;0;0;0
26026;200303;181294831,93;0;204343898,23;-23049066,3;0;0;0
29319;200303;43764795,08;0;44400436,88;-635641,800000004;0;0;0
23345;201004;63748473,49;0;63780409,86;-31936,3699999973;0;0;0
02020;201005;17247204,84;0;17259221,46;-12016,620000001;0;0;0
02721;201005;20719783,56;0;20731800,12;-12016,5600000024;0;0;0
02763;201005;17922547,71;0;19744013,32;-1821465,61;0;0;0
03794;201005;13444374,28;0;13444374,28;0;0;0;0
04561;201005;153480980,76;0;155437219,2;-1956238,44;0;0;0
05177;201005;475387015,6;0;596463373,48;-121076357,88;0;0;0
05274;201005;71112398,72;0;71784724,44;-672325,719999999;0;0;0
05401;201005;17977808,74;0;17978177,1;-368,360000003129;0;0;0
05631;201005;1484994671,15;0;2140404476,11;-655409804,96;0;0;0
05665;201005;425077136,55;0;504194668,4;-79117531,85;0;0;0
06084;201005;10729734,94;0;10754900,74;-25165,8000000007;0;0;0
06122;201005;52149710,57;0;52314389,8;-164679,229999997;0;0;0
06190;201005;563735098,66;0;688872003,75;-125136905,09;0;0;0
06530;201005;36018847,35;0;67896164,98;-31877317,63;0;0;0
10898;201005;0;0;0;0;0;0;0
15580;201005;8863892,74;0;8909855,12;-45962,379999999;0;0;0
20281;201005;215962,53;0;285520,96;-69558,43;0;0;0
01007;201006;35392552,31;0;35392552,31;0;0;0;0
01627;201006;53098974,1;0;53720746,07;-621771,969999999;0;0;0
02020;201006;17253335,66;0;17264851,61;-11515,9499999993;0;0;0
02101;201006;77063090,68;0;77165261,07;-102170,389999986;0;0;0
05495;201006;125475315,32;0;142619000,19;-17143684,87;0;0;0
06718;201006;18065374,24;0;18065374,24;0;0;0;0
10031;201006;0;0;0;0;0;0;0
10103;201006;0;0;0;0;0;0;0
10707;201006;0;0;0;0;0;0;0
11088;201006;0;0;0;0;0;0;0
